sample,total.transformations
WROL2019_036,46785
WROL2019_037,20599
WROL2019_042,16240
WROL2019_043,50481
WROL2019_044,20624
WROL2019_045,22282
WROL2019_046,15107
WROL2019_048,31444
WROL2019_049,60008
WROL2019_050,37382
WROL2019_051,51538
WROL2019_052,52248
WROL2019_053,47429
WROL2019_054,60290
WROL2019_055,51812
WROL2019_056,33199
WROL2019_057,60113
WROL2019_058,53248
WROL2019_059,30629
WROL2019_060,65172
WROL2019_061,53048
WROL2019_062,44821
WROL2019_063,67404
WROL2019_064,62333
WROL2019_065,65659
WROL2019_066,60164
WROL2019_067,58737
WROL2019_068,66119
WROL2019_069,64497
WROL2019_070,66113
WROL2019_071,68143
WROL2019_072,69002
WROL2019_073,64040
WROL2019_074,28330
WROL2019_075,30187
WROL2019_076,46765
WROL2019_077,32168
WROL2019_078,64608
WROL2019_079,62766
WROL2019_080,48628
WROL2019_081,45244
WROL2019_082,56910
WROL2019_083,61820
WROL2019_084,63126
WROL2019_085,40416
WROL2019_086,68191
WROL2019_097,69505
WROL2019_098,59612
WROL2019_099,56978
WROL2019_100,72720
WROL2019_1001,59445
WROL2019_1002,42239
WROL2019_1003,51343
WROL2019_1004,71361
WROL2019_101,69573
WROL2019_102,69803
WROL2019_103,68049
WROL2019_104,65823
WROL2019_105,64172
WROL2019_106,51525
WROL2019_107,38447
WROL2019_108,64169
WROL2019_109,48957
WROL2019_110,28609
WROL2019_111,55704
WROL2019_112,71403
WROL2019_113,42827
WROL2019_114,65197
WROL2019_115,39646
WROL2019_116,49850
WROL2019_117,29531
WROL2019_118,32116
WROL2019_119,56299
WROL2019_120,72124
WROL2019_121,43354
WROL2019_122,42195
WROL2019_123,57337
WROL2019_124,56669
WROL2019_125,63604
WROL2019_126,65498
WROL2019_128,56793
WROL2019_130,66584
WROL2019_134,59906
WROL2019_135,62390
WROL2019_136,46702
WROL2019_137,59802
WROL2019_138,57495
WROL2019_139,31521
WROL2019_140,26292
WROL2019_145,61505
WROL2019_146,49328
WROL2019_147,55824
WROL2019_148,62343
WROL2019_149,61988
WROL2019_150,45320
WROL2019_151,37955
WROL2019_152,44560
WROL2019_153,63082
WROL2019_154,42605
WROL2019_155,81196
WROL2019_162,67708
WROL2019_164,20533
WROL2019_165,57092
WROL2019_166,70637
WROL2019_167,62372
WROL2019_168,67525
WROL2019_169,46729
WROL2019_170,75152
WROL2019_171,69836
WROL2019_172,60449
WROL2019_173,77956
WROL2019_174,64624
WROL2019_175,69786
WROL2019_176,54809
WROL2019_177,61746
WROL2019_178,70408
WROL2019_179,73831
WROL2019_180,74662
WROL2019_181,66867
WROL2019_182,71691
WROL2019_183,64808
WROL2019_184,57823
WROL2019_185,67147
WROL2019_186,75771
WROL2019_188,63262
WROL2019_189,45935
WROL2019_190,35480
WROL2019_192,37934
WROL2019_193,52734
WROL2019_194,70171
WROL2019_195,71241
WROL2019_209,65192
WROL2019_210,65951
WROL2019_211,53593
WROL2019_212,68003
WROL2019_213,33513
WROL2019_215,73079
WROL2019_216,47057
