wrol_sample_id,whondrs_id,Site,Watershed,Sampling Event,sample_date,DOC,DOC SD,TN,TN SD,fi,hix,fi_new,manta_probe1,manta_probe2,freshness,b,t,a,m,c,uva254,uva412,S275295,S350400,SR,S280450,totala250450,totala300340,uva254corr,suva254,old_name/alias,notes
117,195,GUN-GUN,Gunnison,03-Winter 2020,14-Feb-2020,1.089,0.182,0.086,0.148,1.24101229,7.465650014,1.53593948,230.0541171,88.32827442,0.631525582,0.04095236,0.020257669,0.251128378,0.135634808,0.103969312,2.811601679,0.149445647,0.017496081,0.021830585,0.801448094,0.019956183,175.4332323,38.89500639,#REF!,2.581882784,,
118,188,GUN-R32,Gunnison,03-Winter 2020,14-Feb-2020,1.278,0.099,0.149,0.214,1.242687495,8.486292307,1.582447421,306.5098381,122.4607035,0.656358671,0.047133864,0.051809844,0.331792381,0.186099552,0.148852232,3.739553636,0.223221636,0.016065883,0.021337181,0.752952468,0.019356435,240.816932,55.18055111,#REF!,2.925397896,,
119,194,TAY-RES,Gunnison,03-Winter 2020,15-Feb-2020,1.759,0.108,0.167,0.074,1.188261243,9.464309219,1.501962453,347.2903325,132.0961839,0.617671197,0.04579213,0.039481813,0.383681477,0.211870993,0.14825184,5.278930988,0.30967402,0.0180722,0.020388988,0.886370623,0.018973143,334.5469447,74.1342157,#REF!,3.001944054,,
120,070,BLU-BLU,Willamette,03-Winter 2020,23-Jan-2020,1.226,0.172,0.049,0.081,1.175700804,15.49919099,1.481317618,201.3751145,100.795519,0.491694378,0.03147705,7.11E-15,0.215860468,0.121299421,0.108832194,4.403262626,0.350424195,0.013129289,0.01892958,0.693585856,0.017622541,313.5311881,75.62650524,#REF!,3.592044317,,
121,068,BLU-TID,Willamette,03-Winter 2020,23-Jan-2020,1.368,0.065,0.035,0.035,1.11832395,9.258983443,1.495193901,214.4451622,108.3538885,0.498459117,0.024415387,0.004853057,0.216264722,0.128963467,0.11338695,4.550632612,0.355438917,0.013331158,0.018745249,0.711175294,0.0173838,320.7347076,76.73079623,#REF!,3.325954795,,
122,067,HJA-WS1,Willamette,03-Winter 2020,23-Jan-2020,1.327,NA,0.045,0.041,1.153135272,3.000551009,1.477392463,226.6595289,110.7375931,0.627223713,0.062282194,0.169639824,0.238244625,0.137682151,0.118031955,4.827040517,0.373745387,0.013750982,0.018808682,0.731097588,0.017332685,338.023306,80.13703367,#REF!,3.636543541,,
123,066,HJA-WS2,Willamette,03-Winter 2020,23-Jan-2020,1.347,0.065,0.033,0.055,1.10172975,8.919905215,1.49454605,216.0874589,106.2760124,0.48400396,0.034045226,0.005944347,0.225979804,0.128962262,0.110926026,4.876681602,0.333506976,0.013149397,0.020482655,0.641977169,0.01875799,338.9113425,81.97236598,#REF!,3.62015974,,
124,069,LOO-BLU,Willamette,03-Winter 2020,23-Jan-2020,1.392,0.049,0.048,0.082,1.161357083,9.440017959,1.461090319,227.1441936,113.9687532,0.505471945,0.020218593,0.031523017,0.241120334,0.135477422,0.11961359,5.231540078,0.362072154,0.013296749,0.019803174,0.671445336,0.018350555,364.1519995,87.95254929,#REF!,3.757848179,,
125,071,MCK-WAL,Willamette,03-Winter 2020,23-Jan-2020,1.007,0.530,0.063,0.042,1.125069031,12.79553936,1.505649064,181.2319273,90.08667488,0.48747361,0.026999523,0.02434466,0.54095304,0.108410844,0.096252281,3.949185667,0.276540678,0.01340706,0.019928401,0.672761444,0.018720312,274.5201121,66.37300307,#REF!,3.922938805,,
126,082,TRO-GAT,Deschutes,03-Winter 2020,4-Feb-2020,2.834,0.106,1.343,0.120,1.261940436,15.18906324,1.58208372,735.9513044,295.9676956,0.668677535,0.061740054,0.111078018,0.77428359,0.432106769,0.349759996,7.490458104,0.489463508,0.014987648,0.0195301,0.767412785,0.01855564,495.5110847,115.5199707,#REF!,2.643023176,,
127,072,WIL-COR,Willamette,03-Winter 2020,24-Jan-2020,2.239,0.156,0.389,0.002,1.207979958,5.864827695,1.50685441,452.8578547,202.9340584,0.600132325,0.161768887,0.166693219,0.47208589,0.270135578,0.2253457,8.769093826,0.82780782,0.013337178,0.017486873,0.762696605,0.016150323,649.4992214,155.5669034,#REF!,3.916632656,,
128,064,WIL-GOS,Willamette,03-Winter 2020,22-Jan-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,023,WIL-HAR,Willamette,03-Winter 2020,24-Jan-2020,1.527,0.076,0.059,0.020,1.161265521,4.490814932,1.473572628,297.3680716,141.8383522,0.561999126,0.118422051,0.147680714,0.312464391,0.173764008,0.152180447,6.043445124,0.532936145,0.013712485,0.017360411,0.789871,0.016638712,440.7110742,105.3951436,#REF!,3.95672792,,
130,065,WIL-JAS,Willamette,03-Winter 2020,22-Jan-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,073,WIL-POR,Willamette,03-Winter 2020,26-Jan-2020,1.885,0.179,0.793,0.072,1.194756605,5.865232667,1.508698724,406.6037167,180.9367476,0.592205841,0.140339205,0.164700677,0.425607955,0.254310992,0.206081697,6.694373337,0.552957864,0.01378657,0.018554618,0.743026305,0.017045378,476.4070398,113.5846832,#REF!,3.552203259,,
160,099,CT-BUNN,Connecticut,04-Spring 2020,5-Jun-2020,2.093,0.248,0.578,0.079,1.226417726,6.311828193,1.562358419,519.4250795,221.5218186,0.576350403,0.103523184,0.136461547,0.554648228,0.312608658,0.254276504,8.898045455,0.994751612,0.010922764,0.017557218,0.622123859,0.015563788,711.3377333,176.7734151,#REF!,4.251335621,,
154,138,CT-EBRA,Connecticut,04-Spring 2020,5-Jun-2020,2.437,0.042,0.17,0.122,1.11711401,8.184753815,1.459442731,526.4539288,227.2535688,0.514746232,0.04908829,0.069382366,0.571984119,0.324870181,0.23977442,9.055361648,0.772648929,0.014630424,0.017728118,0.825266641,0.016565066,640.874506,150.0126372,#REF!,3.715782375,,
161,101,CT-FARM,Connecticut,04-Spring 2020,6-Jun-2020,2.813,0.707,0.702,0.006,1.258160535,5.251777965,1.553674702,649.0691094,260.1664005,0.633363756,0.180110526,0.226367492,0.702957618,0.412703036,0.312555798,9.744098164,0.857999611,0.013818599,0.018088671,0.763936645,0.016644799,707.0989985,168.4298595,#REF!,3.463952422,,
155,137,CT-MOOS,Connecticut,04-Spring 2020,5-Jun-2020,4.504,0.325,0.178,0.037,1.123165496,9.270750211,1.457788884,1088.026432,496.9279749,0.469365062,0.107938142,0.133080819,1.136316002,0.649066483,0.538606237,19.07341031,1.645172734,0.013584945,0.018419696,0.737522749,0.016779269,1381.44253,331.864402,#REF!,4.234771384,,
162,NA,CT-NEPA,Connecticut,04-Spring 2020,6-Jun-2020,2.951,0.17,0.454,0.087,1.173059389,7.874525075,1.485867864,733.8204938,311.180272,0.547154871,0.133025451,0.165412765,0.771812222,0.432297918,0.345285853,11.63987558,1.184690694,0.011796095,0.018150084,0.64991959,0.016058514,900.7376024,222.0449563,#REF!,3.944383457,,eliminate
156,135,CT-PASS,Connecticut,04-Spring 2020,5-Jun-2020,2.455,0.354,0.234,0.071,1.161908495,6.080896793,1.504633947,529.7782902,217.8065891,0.552031198,0.083174874,0.099421403,0.581682827,0.341574076,0.244631141,8.492717721,0.699919401,0.01509076,0.017890292,0.843516712,0.016793058,594.7890203,138.8801927,#REF!,3.459355487,,
163,098,CT-PHEL,Connecticut,04-Spring 2020,5-Jun-2020,4.302,0.488,0.295,0.007,1.112104373,10.88440487,1.432662829,1356.242153,603.0328481,0.486558273,0.149227585,0.218070612,1.352547969,0.750383055,0.630564102,24.81975363,2.833478469,0.011039306,0.017156535,0.643446115,0.015312793,1996.62688,497.7372841,#REF!,5.769352309,,
157,139,CT-POPE,Connecticut,04-Spring 2020,5-Jun-2020,1.217,0.105,0.293,0.048,1.23346954,7.892212359,1.563681242,268.1706786,114.0505194,0.568702039,0.035694881,0.016531968,0.290063482,0.160337519,0.129916611,3.385639006,0.267202433,0.014304086,0.018525566,0.772126812,0.017113407,232.7710074,54.07349539,#REF!,2.781954812,,
158,136,CT-SLPR,Connecticut,04-Spring 2020,5-Jun-2020,1.604,0.078,0.184,0.033,1.2214329,5.014997132,1.590969419,391.9129065,153.0515351,0.616098283,0.073318871,0.1120403,0.444759429,0.25411322,0.182589934,5.008403163,0.315053216,0.016396319,0.019617651,0.83579422,0.018643018,326.0976774,74.03856894,#REF!,3.122445862,,
164,102,CT-STIL,Connecticut,04-Spring 2020,6-Jun-2020,3.538,0.431,0.544,0.016,1.217786511,7.318872875,1.566332788,954.6663695,389.9900402,0.607737144,0.167325216,0.218903392,1.029237591,0.569639783,0.452571931,13.52114759,1.330370288,0.013407527,0.017199813,0.779515838,0.015708649,1007.534387,240.8404127,#REF!,3.821692367,,
165,100,CT-THOM,Connecticut,04-Spring 2020,6-Jun-2020,2.72,0.544,0.463,0.061,1.174266071,6.023097585,1.505009097,561.5661887,222.4357229,0.598593919,0.110877865,0.144752875,0.641322801,0.369309191,0.266865225,9.320412835,0.767767455,0.015085474,0.017464727,0.8637681,0.016723971,649.3506504,150.5902975,#REF!,3.426622366,,
166,097,CT-UNIO,Connecticut,04-Spring 2020,5-Jun-2020,3.001,0.177,0.24,0.036,1.157406378,7.335592394,1.498104767,663.1971894,273.8781168,0.57084086,0.085899482,0.139629659,0.71581354,0.404708459,0.312634917,10.89343276,0.966623978,0.014104949,0.017557319,0.803365779,0.016386572,786.3173895,186.0970279,#REF!,3.629934276,,
159,140,CT-W9,Connecticut,04-Spring 2020,6-Jun-2020,1.192,0.232,0.135,0.015,1.229192768,4.839719723,1.53870345,251.5527205,113.4546874,0.532737001,0.039744604,0.024598852,0.265656725,0.151595408,0.129702886,3.583191656,0.280144278,0.014853393,0.018634141,0.797106426,0.01700797,246.0693164,57.42744109,#REF!,3.006033269,,
181,118,BRO-LAP,Deschutes,04-Spring 2020,7-May-2020,0.331,0.065,-0.003,0.06,1.152771487,12.4802558,1.71600276,33.9087786,15.04997449,0.363903059,0.010456375,0,0.045682562,0.020325899,0.017464736,0.5374111,0.051646102,0.015609621,0.018019327,0.866270991,0.016319969,38.78558959,8.986370547,#REF!,1.623598489,,
182,117,CUL-LAP,Deschutes,04-Spring 2020,7-May-2020,0.305,0.138,0.028,0.049,1.47786143,5.603931975,2.325059599,15.45916451,7.869917127,0.301092322,0.013564443,0,0.031804183,0.009660402,0.012049986,0.480455851,0.056151295,0.014349272,0.016351538,0.877548806,0.013683433,34.98775959,7.870582252,#REF!,1.575265086,,
183,145,DES-BFA,Deschutes,04-Spring 2020,7-May-2020,1.404,0.086,0.058,0.015,1.135142854,13.3063263,1.48707826,253.8969263,105.7596282,0.519818201,0.052866734,0.033719836,0.270806876,0.141221687,0.108476799,5.16938517,0.580242947,0.012920268,0.015692021,0.823365434,0.014836392,395.019137,94.79026389,#REF!,3.681898269,,
184,116,DES-LAP,Deschutes,04-Spring 2020,7-May-2020,0.545,NA,-0.003,0.025,1.233358144,63.18640953,1.49686715,91.59142909,40.06791188,0.476788389,0.018942141,0,0.102283672,0.05166804,0.041743086,1.814717035,0.236069616,0.01189213,0.014121764,0.84211362,0.013674666,143.6188871,34.12652788,#REF!,3.329756028,,
185,147,DES-MAD,Deschutes,04-Spring 2020,7-May-2020,0.752,0.008,0.1,0.024,1.254954657,9.526177742,1.594000933,84.61565198,30.12687173,0.74018035,0.020932881,0.013092127,0.100581775,0.049028663,0.037175175,1.698444484,0.151695039,0.01733804,0.014882599,1.164987354,0.015919455,111.4389004,24.33318703,#REF!,2.258569792,,
186,149,DES-MOO,Deschutes,04-Spring 2020,13-May-2020,0.978,0.032,0.04,0.027,1.179098835,2.793254881,1.592692955,112.9743039,42.07441696,0.62106493,0.052763611,0.046238829,0.124873455,0.064347593,0.047749182,1.757256047,0.133480784,0.017693852,0.019151143,0.923905798,0.017242273,117.0592133,26.05224022,#REF!,1.796785324,,
187,119,DES-WIC,Deschutes,04-Spring 2020,7-May-2020,1.024,0.241,0.064,0.044,1.2473744,7.876049227,1.621741757,96.63028214,36.61414682,0.650122828,0.043942271,0.015920678,0.11584959,0.057976254,0.040717207,1.732980441,0.120296776,0.017941568,0.018679236,0.960508673,0.017921326,113.365265,25.20664476,#REF!,1.692363712,,
188,120,LDS-LAP,Deschutes,04-Spring 2020,7-May-2020,3.928,0.311,0.128,0.088,1.093561072,10.41727165,1.43029071,908.7403866,394.6527059,0.481335336,0.129589783,0.145488998,0.961494505,0.523138298,0.396298036,18.93827154,2.500084801,0.011426078,0.015701196,0.727720231,0.014590371,1497.258507,362.6142082,#REF!,4.821352225,,
190,148,TRO-GAT,Deschutes,04-Spring 2020,7-May-2020,3.368,0.403,0.558,0.005,1.248966343,5.77330085,1.59133217,672.2434712,257.5252496,0.712701693,0.17417905,0.198539788,0.713927262,0.389775757,0.29947377,8.665187728,0.934394847,0.015771122,0.014353112,1.098794578,0.014842858,611.5467022,138.3887145,#REF!,2.572799207,,
189,146,WHY-SIS,Deschutes,04-Spring 2020,7-May-2020,0.893,0.055,0.02,0.009,1.063711861,11.11588981,1.463551265,113.4960014,51.63775957,0.432080323,0.022819706,-1.77636E-15,0.123270655,0.066532977,0.055055556,2.304683452,0.201609777,0.01372387,0.017900585,0.766671603,0.016436257,166.410199,39.22767101,#REF!,2.580832534,,
170,113,BLU-BLU,Willamette,04-Spring 2020,21-Apr-2020,0.908,0.235,0.008,0.004,1.160431735,14.07498501,1.486929318,130.1589376,58.65002069,0.514677659,0.023350839,0.020236308,0.149719654,0.07892108,0.065490081,3.090481625,0.282565354,0.013810661,0.016831615,0.82051906,0.01583155,219.2240162,51.02988054,#REF!,3.403614125,,
171,115,BLU-TID,Willamette,04-Spring 2020,21-Apr-2020,0.761,0.054,0.003,0.051,1.142347568,8.81103995,1.435195598,111.1919525,51.85030268,0.487343922,0.033865184,0.02031482,0.127452581,0.068324513,0.056368571,2.158336618,0.178654637,0.013569064,0.016903284,0.802747157,0.016408784,153.3532721,35.95246941,#REF!,2.83618478,,
