sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL
RC2_0015,T42,2021-05-06,Yakima,2465.9001,22.94994648,6,78017687,31.282272,1.2685944576586862e-5,10.87,1.33
RC2_0016,T03,2021-05-06,Yakima,8977.0689,101.4402722,7,78018211,209.0016,2.328171949309646e-5,13.57,1.66
RC2_0017,T02,2021-05-06,Yakima,13461.462,157.8970615,7,78018972,131.1216,9.740517040422505e-6,14.4,1.83
RC2_0018,T07,2021-05-06,Yakima,14144.7249,176.2121722,7,78018963,135.3696,9.570323987000978e-6,16.63,1.8
RC2_0019,T06,2021-05-13,Yakima,206.2035,17.72490737,3,78017752,16.68048,8.089329230590169e-5,5.17,0.86
RC2_0020,T05P,2021-05-13,Yakima,383.8644,52.31606934,4,78018214,104.67072,2.7267628881448764e-4,5.93,1.51
RC2_0021,T42,2021-05-13,Yakima,2465.9001,23.43748958,6,78017687,26.255472,1.0647419171603911e-5,9.43,1.31
RC2_0022,T03,2021-05-13,Yakima,8977.0689,106.3945466,7,78018211,140.4672,1.564733451026537e-5,13.77,1.64
RC2_0023,T02,2021-05-13,Yakima,13461.462,167.4347376,7,78018972,80.4288,5.974744793693285e-6,18.73,1.91
RC2_0024,T07,2021-05-13,Yakima,14144.7249,188.1350357,7,78018963,78.4464,5.545982728868767e-6,19.17,1.91
RC2_0025,T06,2021-05-20,Yakima,206.2035,17.62297368,3,78017752,17.50176,8.487615389651485e-5,4.77,0.85
RC2_0026,T05P,2021-05-20,Yakima,383.8644,51.79891659,4,78018214,113.7048,2.9621084945621423e-4,5.1,1.31
RC2_0027,T42,2021-05-20,Yakima,2465.9001,23.55072921,6,78017687,25.221792,1.0228229440438404e-5,7.5,1.21
RC2_0028,T03,2021-05-20,Yakima,8977.0689,104.3941189,7,78018211,164.5392,1.832883336787133e-5,9.9,1.56
RC2_0029,T02,2021-05-20,Yakima,13461.462,160.358667,7,78018972,115.2624,8.562398348708335e-6,13.47,1.79
RC2_0030,T07,2021-05-20,Yakima,14144.7249,177.6834874,7,78018963,126.3072,8.929632841427689e-6,14.6,1.81
RC2_0031,T06,2021-05-27,Yakima,206.2035,17.75768919,3,78017752,16.4256,7.965723181226312e-5,5.63,0.77
RC2_0032,T05P,2021-05-27,Yakima,383.8644,50.88635995,4,78018214,131.85792,3.4350129889617275e-4,5.97,1.24
RC2_0033,T42,2021-05-27,Yakima,2465.9001,23.97153248,6,78017687,21.761088,8.82480518979662e-6,9.13,1.12
RC2_0034,T03,2021-05-27,Yakima,8977.0689,101.741297,7,78018211,203.904,2.2713872676191667e-5,13.77,1.34
RC2_0035,T02,2021-05-27,Yakima,13461.462,159.8463091,7,78018972,118.3776,8.793814520295047e-6,16.23,1.56
RC2_0036,T07,2021-05-27,Yakima,14144.7249,179.1744388,7,78018963,117.8112,8.328984892452735e-6,17.4,1.58
RC2_0037,T06,2021-06-03,Yakima,206.2035,16.39186605,3,78017752,32.0016,1.5519426197906438e-4,6.27,1.58
RC2_0038,T05P,2021-06-03,Yakima,383.8644,49.23718287,4,78018214,173.51664,4.520258716359215e-4,8.4,1.32
