sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL,mon,depth,vf_md,Da
WROL2019_071,MCK-WAL,2020-01-23,Willamette,2730.9312,1286.364236,5,78023324.0,184.9296,6.771668213391828e-05,6.7,1.007,1,1.2999017998606113,0.02137611120908738,0.8813955846215101
WROL2019_072,WIL-COR,2020-01-24,Willamette,11376.3474,1397.921591,6,78022384.0,668.352,5.874926076888264e-05,8.0,2.239,1,1.6385173542309637,0.023391743853553408,0.8315399615081556
WROL2019_073,WIL-POR,2020-01-26,Willamette,28921.6503,1338.995312,7,78020394.0,2574.288,8.900902864453762e-05,8.4,1.885,1,1.8790779257463652,0.02404937528543532,0.7140470405393112
WROL2019_074,DES-LAP,2020-02-05,Deschutes,106.623,25.41251249,2,78024269.0,2.327904,2.183303789989027e-05,4.2,0.329,2,0.4631728277133073,0.017975095287786323,0.04109268237994103
WROL2019_075,CUL-LAP,2020-02-05,Deschutes,52.0434,6.786065042,2,78024783.0,1.064832,2.0460461845306032e-05,5.4,0.068,2,0.3784676446867444,0.019534162706465266,0.014593948840814308
WROL2019_076,BRO-LAP,2020-02-05,Deschutes,51.8805,8.499330357,2,78024593.0,0.62304,1.200913638072108e-05,4.7,0.465,2,0.3449533702443378,0.01860898565415161,0.019104504444962783
WROL2019_077,DES-WIC,2020-02-04,Deschutes,662.4486,3736.91724,4,78024218.0,3.00192,4.53155158000183e-06,2.0,0.435,2,0.7319250541553747,0.015432795530768473,3.283070636405231
WROL2019_078,LDS-LAP,2020-02-04,Deschutes,1862.1909,1060.314575,4,78024191.0,2.832,1.5207893025360612e-06,0.0,3.812,2,0.4720435447080265,0.013435028842544404,1.257419032717487
WROL2019_079,DES-BFA,2020-02-05,Deschutes,3606.912,1702.177025,5,78024103.0,16.65216,4.6167358671351e-06,1.8,1.318,2,0.5690611617789046,0.015220327674202817,1.896961596580365
WROL2019_080,WHY-SIS,2020-02-04,Deschutes,166.2804,19.86116563,3,78023762.0,1.8408,1.1070456890890328e-05,0.0,0.647,2,0.1714106813861526,0.013435028842544404,0.06486257909167213
WROL2019_081,DES-MAD,2020-02-04,Deschutes,18388.1277,3645.309707,6,78021674.0,126.5904,6.8843550613366685e-06,7.6,0.407,2,0.6647415746784578,0.022752095387759644,5.198663995334598
WROL2019_082,TRO-GAT,2020-02-04,Deschutes,1668.3183,53.51359919,5,78021831.0,0.75048,4.498422153614212e-07,1.9,2.834,2,0.350506752337196,0.015326193425220397,0.09749690586044259
WROL2019_083,DES-MOO,2020-02-08,Deschutes,25189.3503,2922.23703,6,78020390.0,196.824,7.813778349019188e-06,7.4,1.07,2,0.8363389851523457,0.022438860567161076,3.2668008240113955
WROL2019_084,DES-MOO,2020-10-02,Deschutes,25189.3503,2932.684839,6,78020390.0,115.5456,4.587081390503351e-06,15.1,,10,0.6786450011267998,0.03826431090215532,6.8897806334197575
WROL2019_085,DES-MOO,2020-03-08,Deschutes,25189.3503,2928.936346,6,78020390.0,139.3344,5.531480500312864e-06,8.26,0.573,3,0.8442043744301329,0.02381712738837312,3.443027353033229
WROL2019_086,WIL-POR,2020-03-08,Willamette,28921.6503,1362.142796,7,78020394.0,472.944,1.63525938213837e-05,8.93,1.091,3,1.7500446943922308,0.02494930138305889,0.8091343622314581
WROL2019_097,CT-UNIO,2020-06-05,Connecticut,978.5736,6367.168489,5,73003731.0,8.86416,9.05824559338204e-06,18.3,3.001,6,0.6806984576635546,0.04776650823182948,18.61674839394574
WROL2019_098,CT-PHEL,2020-06-05,Connecticut,7.8183,2.765008583,1,73004283.0,2.103228488,0.0002690135308187202,20.6,4.302,6,0.4081285620215693,0.05602223025706184,0.015814251716451365
WROL2019_099,CT-BUNN,2020-06-05,Connecticut,10.5084,2.477357428,1,,0.0909072,8.650907845152449e-06,17.6,2.093,6,,0.045504190775519295,
WROL2019_100,CT-THOM,2020-06-06,Connecticut,25008.6483,28300.71713,6,73003672.0,245.5344,9.81797964666487e-06,22.5,2.72,6,1.421987305282323,0.0639081275592823,52.99642484044876
WROL2019_1001,EAS-ROC,2019-10-19,Gunnison,4.6413,1.234425865,1,77015865.0,0.048046144,1.0351872104798225e-05,1.0,0.974,10,0.3915787670704905,0.014399307381848782,0.001891368881244758
WROL2019_1002,EAS-RUS,2019-10-19,Gunnison,15.0255,1.850713026,1,77015865.0,0.073169985,4.869720475192174e-06,4.7,0.578,10,0.3915787670704905,0.01860898565415161,0.003664640749084353
WROL2019_1003,EAS-PUM,2019-10-19,Gunnison,86.7375,7.598196956,2,77015865.0,0.448260411,5.168011655858193e-06,4.5,0.721,10,0.3915787670704905,0.018352790249572065,0.014838235915647213
WROL2019_1004,EAS-BRA,2019-10-19,Gunnison,4.9086,1.212724777,1,77015865.0,0.039191327,7.984216884651428e-06,3.9,0.488,10,0.3915787670704905,0.017605173175917047,0.002271810883407675
WROL2019_101,CT-FARM,2020-06-06,Connecticut,1492.9416,4803.220816,5,73003727.0,15.60432,1.0452063228729106e-05,20.8,2.813,6,0.8181384942689621,0.05680427144812766,13.89554157439023
WROL2019_102,CT-STIL,2020-06-06,Connecticut,222.6708,3512.512568,4,73003738.0,1.10448,4.960147446364767e-06,22.8,3.538,6,0.4489086337621528,0.0652509731692693,21.273339949164033
WROL2019_103,WIL-POR,2020-04-03,Willamette,28921.6503,1349.691378,7,78020394.0,1127.136,3.897204994557312e-05,8.3,2.273,4,1.6817831315645704,0.02388325411591474,0.7986320578891751
WROL2019_104,DES-MOO,2020-04-03,Deschutes,25189.3503,2929.634017,6,78020390.0,134.52,5.340352109041892e-06,9.0,0.977,4,0.8350805003262528,0.02507065030468499,3.6647080696722076
WROL2019_105,WIL-JAS,2020-04-23,Willamette,3494.8566,2005.660372,5,78023216.0,49.8432,1.4261872718897825e-05,11.8,1.912490784,4,1.2064497109773855,0.030440655348405638,2.108584095082361
WROL2019_106,HJA-WS1,2020-04-21,Willamette,0.96,1.015177426,1,78023871.0,0.008656333,9.017013541666668e-06,8.9,0.9,4,0.5337498211279819,0.024897474673308904,0.001973096231312322
WROL2019_107,MCK-WAL,2020-04-23,Willamette,2730.9312,1293.467531,5,78023324.0,63.4368,2.322899969065497e-05,9.0,0.956,4,1.1948515268974211,0.02507065030468499,1.1308264186028467
WROL2019_108,WIL-POR,2020-04-27,Willamette,28921.6503,1360.131763,7,78020394.0,540.912,1.8702667184935847e-05,13.5,1.387,4,1.6817831315645704,0.03424751757921155,1.154061216067037
WROL2019_109,HJA-WS2,2020-04-21,Willamette,0.6,1.010986401,1,78023871.0,0.009231258,1.5385430000000002e-05,7.8,0.909,4,0.5337498211279819,0.02306970280350589,0.0018206997365799924
WROL2019_110,LOO-BLU,2020-04-21,Willamette,63.5697,7.482794659,3,78023871.0,2.94528,4.633150699153842e-05,6.5,0.66,4,0.5337498211279819,0.021081819969289057,0.01231467468651154
WROL2019_111,WIL-HAR,2020-04-23,Willamette,8825.7501,1556.345136,6,78023210.0,187.1952,2.121011787995221e-05,12.5,1.243,4,1.4076396438742425,0.03195406377964115,1.4720727695738671
WROL2019_112,WIL-GOS,2020-04-23,Willamette,1664.3106,1442.632137,5,78023308.0,15.06624,9.052541034107456e-06,13.2,2.123723777,4,1.0002061237825213,0.03354271385904488,2.0158260309491554
WROL2019_113,BLU-BLU,2020-04-21,Willamette,227.9673,2970.17802,4,78023549.0,1.639728,7.192821075654272e-06,7.3,0.908,4,0.7074328917888871,0.022283864035405696,3.898311058126374
WROL2019_114,WIL-COR,2020-04-23,Willamette,11376.3474,1410.244725,6,78022384.0,194.2752,1.7077115630276905e-05,13.6,1.466,4,1.503508712632745,0.03448572790205211,1.3477728089476249
WROL2019_115,BLU-TID,2020-04-21,Willamette,119.3625,6.800082805,3,78023561.0,4.469025032,3.7440779407267785e-05,7.3,0.761,4,0.5799987137042331,0.022283864035405696,0.010885952350389829
WROL2019_116,DES-LAP,2020-05-07,Deschutes,106.623,25.7940673,2,78024269.0,2.056032,1.928319405756732e-05,12.8,0.545,5,0.421005783432659,0.03262548658463464,0.08328705821626005
WROL2019_117,CUL-LAP,2020-05-07,Deschutes,52.0434,6.754284478,2,78024783.0,1.107312,2.127670367424112e-05,10.6,0.305,5,0.3293360354537267,0.02801111512853092,0.023936423054881358
WROL2019_118,BRO-LAP,2020-05-07,Deschutes,51.8805,8.677903657,2,78024593.0,0.52392,1.0098591956515456e-05,12.8,0.331,5,0.3083524094077588,0.03262548658463464,0.03825720462289468
WROL2019_119,DES-WIC,2020-05-07,Deschutes,662.4486,3729.596641,4,78024218.0,29.1696,4.4033001201904566e-05,12.5,1.024,5,0.6408314254562183,0.03195406377964115,7.748772675409282
WROL2019_120,LDS-LAP,2020-05-07,Deschutes,1862.1909,1054.468491,4,78024191.0,7.24992,3.893220614492317e-06,13.7,3.928,5,0.4386957215876733,0.03472559510871722,3.477832514987661
WROL2019_121,CT-SLPR,2020-03-12,Connecticut,120.4659,8.659946485,3,73001445.0,3.22848,2.6799949197241703e-05,0.9,1.787,3,0.3955786633561469,0.01429984410040514,0.0130437483241544
WROL2019_122,CT-POPE,2020-03-13,Connecticut,11.1456,4.449242436,1,73001606.0,0.478608,4.294142980189492e-05,1.8,1.489,3,0.3172071174982729,0.015220327674202817,0.008895203906516097
WROL2019_123,CT-W9,2020-03-13,Connecticut,0.41,1.115793647,1,73001606.0,1.075109516,0.0026222183317073,1.9,1.728,3,0.3172071174982729,0.015326193425220397,0.0022462806781974767
WROL2019_124,CT-EBRA,2020-03-13,Connecticut,139.3335,15.9941808,3,73001057.0,7.08,5.08133363476838e-05,1.5,3.145,3,0.4870533075580721,0.014907097860038262,0.020397050202791638
WROL2019_125,CT-PASS,2020-03-13,Connecticut,1125.1035,25.58246883,4,73001343.0,53.808,4.782493343945691e-05,1.6,3.143,3,0.5962406388744745,0.015010784925404164,0.0268357069577987
WROL2019_126,CT-MOOS,2020-03-12,Connecticut,208.9341,25.00509972,3,73001351.0,14.13168,6.763702047679149e-05,0.0,5.499,3,0.549462229096914,0.013435028842544404,0.02547522970027824
WROL2019_128,CT-THOM,2020-03-21,Connecticut,25008.6483,28282.64939,6,73003672.0,866.592,3.465169287058189e-05,5.1,,3,1.0988285131040392,0.01913215545107766,20.518368662809323
WROL2019_130,CT-STIL,2020-03-21,Connecticut,222.6708,3510.27523,4,73003738.0,7.05168,3.166863369602121e-05,7.2,,3,0.4972099335773525,0.02212993814290066,6.5098402487611
WROL2019_134,CT-BUNN,2020-03-22,Connecticut,10.5084,3.546241104,1,,0.242136,2.3042137718396712e-05,3.7,,3,,0.01736279755435861,
WROL2019_135,CT-PASS,2020-06-05,Connecticut,1125.1035,30.32136684,4,73001343.0,13.05552,1.1603839113468228e-05,16.7,2.455,6,0.7309049574048725,0.04275222241817476,0.07389844865337498
WROL2019_136,CT-SLPR,2020-06-05,Connecticut,120.4659,10.23164797,3,73001445.0,0.804288,6.6764785719444255e-06,21.0,1.604,6,0.4626423032876731,0.05759722952739513,0.053075073008505766
WROL2019_137,CT-MOOS,2020-06-05,Connecticut,208.9341,31.61870598,3,73001351.0,1.999392,9.56948626385066e-06,0.0,4.504,6,0.701477659099457,0.013435028842544404,0.025232344732984722
WROL2019_138,CT-EBRA,2020-06-05,Connecticut,139.3335,18.41909453,3,73001057.0,2.183472,1.5670832929625683e-05,0.0,2.437,6,0.6124197114552496,0.013435028842544404,0.016836293097920108
WROL2019_139,CT-POPE,2020-06-05,Connecticut,11.1456,2.509802642,1,73001606.0,0.101952,9.147286821705429e-06,12.5,1.217,6,0.3725623431332837,0.03195406377964115,0.008969236421648695
WROL2019_140,CT-W9,2020-06-06,Connecticut,0.41,1.049253708,1,73001606.0,1.028826777,0.002509333602439,12.6,1.192,6,0.3725623431332837,0.03217632186977603,0.0037757802658084255
WROL2019_145,DES-BFA,2020-05-07,Deschutes,3606.912,1696.259534,5,78024103.0,41.3472,1.1463323751730011e-05,11.7,1.404,5,0.5082677899330216,0.030230386382686904,4.203704403284292
