Name,Mass,WROL2019_084,WROL2019_078
C18H24,240.1878,0,5
C18H24O1,256.182715,0,7
C18H24O11,416.131865,1,15
C18H26,242.20345,0,4
C18H26O_1,226.208535,0,2
C18H28O1,260.214015,0,7
C18H28O18,532.12757,0,0
C18H30O1,262.229665,1,10
C18H30O13,454.168645,0,0
C18H30O14,470.16356,0,1
C18H30O15,486.158475,0,0
C18H30O7,358.199155,4,17
C18H32O1,264.245315,1,10
C18H34N6O4S1,430.236226,0,0
C18H34O1,266.260965,2,14
C18H8O4,288.04226,0,1
C19H10O2,270.06808,0,1
C19H19O5N7,425.144768,0,1
C19H20N1O3,310.144319,0,0
C19H20N3O11P1,497.08355,0,0
C19H21N7O5,427.160418,0,0
C19H21O3N1,311.152144,0,0
C19H22O1N2,294.173213,0,2
C19H25N1O2,299.188529,0,0
C19H26O_1,238.208535,0,1
C19H26O1,270.198365,0,3
C19H28O1,272.214015,0,9
C19H29N6O15P3S1,706.062455,0,0
C19H29N6O16P3S1,722.05737,0,0
C19H31N6O14P3S1,692.08319,0,0
C19H32N7O12P3S1,675.104259,0,0
C19H32N7O14P3S1,707.094089,0,0
C19H32O_2,228.26057,2,1
C19H36O_2,232.29187,2,1
C19H38O_2,234.30752,2,1
C1H_1,10.992175,0,0
C1H_1N1,24.995249,39,39
C1H_1N1O_1,9.000334,32,39
C1H_1o1,57.9253,0,4
C1H_1O2,42.982005,1,0
C1H_2N_1O5,75.955851,1,0
C1H_2O2,41.97418,194,311
C1H1N_1O3S2,110.93364,0,0
C1H1N1,27.0109,36,42
C1H1N1O_1,11.015984,19,29
C1H1O1N1,43.005814,49,54
C1H1O2F1,63.996,0,0
C1H1O4P1,107.961248,1,6
C1H2N2,42.0218,9,6
C1H2N2O1,58.016713,6,4
C1H2O_1N2,26.026883,4,3
C1H2O1,30.010565,300,415
C1H2O2,46.00548,213,319
C1H2O3,62.00037604,143,221
C1H3,15.023475,1,0
C1H3Cl1,61.9923,76,81
C1H3N1O_1,13.031634,30,44
C1H3N1O2,61.016379,32,46
C1H3N1S1,60.998621,5,6
C1H3O6P1,141.966728,4,6
C1H4,16.0313,281,411
C1H4N_1O5P1,112.976564,2,1
C1H4N2O1,60.032363,7,4
C1H4O_1S1,32.008457,18,34
C1H4O1,32.026215,251,371
C1H4O1S1,63.998287,12,18
C1H4O2,48.02113,180,267
C1H4O3,64.01603444,132,212
C1H4O8P2,205.938146,0,0
C1H4S1,48.003372,25,35
C1H5,17.039125,0,0
C1H5N1,31.0422,34,53
