sample,AI.mean,AI.median,AI.sd,AI.Mod.mean,AI.Mod.median,AI.Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE.O.mean,DBE.O.median,DBE.O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,mass.mean,mass.median,mass.sd,number.of.peaks,peaks.with.formula
RC2_0144,0.104531096,0,0.199999051,0.255352935,0.224489796,0.219342773,10.7873805,10,5.952601189,0.053919694,-1,6.923160962,478.1134904,462.6205064,144.3419962,0.421586583,0.402280433,0.162824117,-0.280520984,-0.285714286,0.564374237,1.232161526,1.227272727,0.375118522,0.483963056,0.48,0.198277402,0.014648603,0,0.037480206,0.015886864,0,0.024348679,0.411630559,0,0.803870676,505.6683101,501.1737164,138.5496236,7341,5230
RC2_0145,0.108159392,0,0.208851891,0.254722292,0.215686275,0.227841271,10.36410256,10,5.858088086,0.102169625,-1,6.817652521,463.402957,449.1049196,135.4330325,0.412654469,0.39270807,0.164668324,-0.300352936,-0.307692308,0.579518213,1.242894136,1.25,0.39065373,0.478775249,0.473684211,0.198146909,0.015707987,0,0.040956768,0.016381628,0,0.024789894,0.382147025,0,0.765077555,489.015607,485.0468314,130.2841318,7392,5070
RC2_0146,0.088737802,0,0.183245761,0.235771015,0.2,0.215708106,9.501317123,9,5.460358327,-0.366160081,-1,6.039247208,447.8254646,432.5971523,129.7516729,0.397539082,0.373447418,0.166941054,-0.327450192,-0.333333333,0.589110622,1.28221177,1.272727273,0.384714155,0.477269934,0.476190476,0.181664002,0.018963828,0,0.042244171,0.015438742,0,0.024257513,0.434615385,0,0.804625327,469.5297286,464.096432,125.9548899,7251,4935
RC2_0147,0.08041647,0,0.173262559,0.225453354,0.1875,0.211494111,9.39146604,9,5.226376315,-0.604815032,-2,5.837514059,458.392176,448.3913094,130.0225185,0.393316916,0.371533072,0.157469961,-0.338040288,-0.363636364,0.58595465,1.295085643,1.294117647,0.371661569,0.47623634,0.473684211,0.175148701,0.020465847,0,0.041395341,0.01525365,0,0.023675506,0.466911765,0,0.755203992,477.4113225,477.161213,126.1899109,7100,5109
RC2_0148,0.096657758,0,0.190285457,0.254578994,0.222222222,0.215534288,10.0568663,9,5.463878298,0.106876386,-1,6.12484995,458.1486139,446.5533191,132.6216853,0.402202054,0.379453056,0.163239293,-0.283298448,-0.285714286,0.573940329,1.241219781,1.24137931,0.368101101,0.472714683,0.470588235,0.179333057,0.020059708,0,0.040891359,0.014003709,0,0.02296081,0.466032609,0,0.837716308,476.2397811,472.1251047,128.8381223,6986,4959
RC2_0149,0.089501568,0,0.189561032,0.228142447,0.191898527,0.212666383,10.33055864,9,5.950400786,-0.233259341,-2,6.953377978,487.775575,476.5825305,141.9488757,0.409288482,0.39643691,0.153721309,-0.373760143,-0.4,0.550839896,1.289843557,1.291666667,0.374141896,0.466349405,0.464285714,0.186733278,0.015092762,0,0.035749036,0.015833427,0,0.023720354,0.431192661,0,0.763813421,513.5780768,509.0390797,135.8164536,7254,5406
RC2_0150,0.100367166,0,0.192517137,0.252037433,0.225806452,0.211025283,10.96041172,10,6.080175769,0.232581156,-1,6.984040368,493.194833,480.6261296,143.9562211,0.41895596,0.402036848,0.157105729,-0.324069116,-0.352941176,0.555629149,1.244435125,1.235294118,0.367025623,0.466737138,0.466666667,0.187074773,0.013577608,0,0.034498241,0.014577024,0,0.022768724,0.454987835,0,0.835775359,518.0929445,511.1579679,139.0032433,6701,5052
RC2_0151,0.093427451,0,0.193074536,0.221928319,0.176470588,0.223816672,9.616023936,9,5.992417144,-0.475232713,-2,6.741964333,474.4381581,466.6455524,137.0039416,0.39450181,0.370195675,0.167058837,-0.430234728,-0.461538462,0.623759149,1.329001528,1.315789474,0.417028972,0.455102096,0.45,0.190779293,0.017703769,0,0.040405522,0.016789183,0,0.024120438,0.487072946,0,0.799288957,500.7334349,500.1657105,131.6615912,8910,6016
RC2_0152,0.090638709,0,0.180582285,0.239808675,0.210526316,0.207569179,10.35276911,10,5.815089038,-0.068057722,-1,6.484670794,477.9050112,466.6989015,142.022565,0.403318479,0.384442538,0.153926483,-0.343491428,-0.375,0.56409358,1.268686242,1.266666667,0.364726926,0.466327282,0.464285714,0.179468191,0.015421717,0,0.036782452,0.0143826,0,0.022974996,0.461204221,0,0.822179071,503.8962236,501.2053271,136.9222965,6879,5128
RC2_0153,0.082628027,0,0.173981746,0.234314596,0.2,0.205211796,10.0823846,9,5.562652951,-0.374663631,-2,6.137956088,475.9483946,462.6865737,139.8193274,0.398125883,0.376504343,0.151630918,-0.342539185,-0.372093023,0.556438034,1.274648037,1.277777778,0.35960025,0.471229557,0.466666667,0.172211422,0.014232739,0,0.032408854,0.013841638,0,0.022839001,0.455687369,0,0.805634898,498.7472972,495.2155648,136.133199,6294,4831
RC2_0154,0.085201233,0,0.17602339,0.223830177,0.185185185,0.20855233,9.864174685,9,5.603902295,-0.479089563,-2,6.355800042,476.6489662,467.6438222,135.6745123,0.392525864,0.37529082,0.14531531,-0.384230901,-0.411010558,0.563758424,1.300950415,1.303689065,0.371816268,0.46538994,0.466666667,0.178255634,0.015762514,0,0.035357943,0.015528945,0,0.023495115,0.477084484,0,0.786557998,501.2458315,499.1715314,131.9474167,7158,5404
RC2_0155,0.089990292,0,0.190612716,0.228071227,0.19047619,0.216565933,9.893979323,9,5.906571031,-0.276099736,-2,6.775689335,475.4868233,465.7006453,134.0417304,0.398831918,0.379451955,0.159973808,-0.406117325,-0.421052632,0.585731408,1.305537114,1.294117647,0.394420484,0.458251069,0.458333333,0.1830636,0.015680917,0,0.037058834,0.016061777,0,0.023939624,0.420897285,0,0.759620415,498.6848625,495.1601559,127.6236582,6769,4933
RC2_0156,0.10496413,0,0.200842624,0.252110543,0.222222222,0.218434545,11.12274959,10,6.357314684,0.366248409,-1,7.380186127,498.5423989,488.6837834,146.5076426,0.424102981,0.405954035,0.160374742,-0.325445671,-0.352941176,0.557988286,1.244737003,1.24,0.376081902,0.463801671,0.464285714,0.190624497,0.014385436,0,0.033429775,0.014410583,0,0.022549517,0.513618677,0,0.857933059,523.8043084,521.288626,140.202587,7284,5499
