site,streamorde,ElevWs,TmeanSite,PrecipSite,RunoffWs,areasqkm,CatAreaSqKm,WsAreaSqKm,slope,PctOw2019Ws,PctMxFst2019Ws,PctDecid2019Ws,PctConif2019Ws,PctCrop2019Ws,PctWdWet2019Ws,PctHbWet2019Ws,PctUrbHi2019Ws,PctImp2019Ws,PopDen2010Ws,RdDensWs,KffactWs,WWTPAllDensWs,OmWs,DamDensWs,HydrlCondWs,ClayWs,SandWs,PermWs,lulc_H,lulc_evenness
T02,7,904.5658,11.1498994827271,260.255004882812,503.1249,53.6166,53.6166,13461.462,4.0288e-4,0.7,0.05,0.07,32.51,9.84,0.93,0.58,0.21,1.42,19.2646,1.3932,0.355,0.0108,0.9292,0.0022,17.873,18.2332,33.1702,5.6788,0.783804333261876,0.35672472506752695
T03,7,1030.176,11.0699996948242,257.756988525391,674.3999,0.3294,0.3294,8977.0689,8.4745e-4,0.93,0.05,0.08,41.44,3.48,0.78,0.2,0.24,1.45,20.511,1.3432,0.3254,0.0113,1.0067,0.0028,19.5435,19.0051,35.0875,5.1981,0.661078420076701,0.30086975491515394
T05P,4,1311.284,11.5949001312256,1144.4990234375,1028.1392,1.2276,1.2276,383.8644,0.0055638,0.05,0,0.05,78.14,0,0.73,0.04,0.02,0.18,1.4189,0.4091,0.2785,0,0.8758,0,4.9534,9.9812,51.3773,9.8441,0.25247148429917055,0.11490472430690335
T06,3,1463.5289,11.654899597168,1110.34497070312,1032.4096,11.9232,11.9232,206.2035,0.01734268,0.16,0.04,0.06,65.64,0,1.32,0.09,0.01,0.19,0.6106,0.2634,0.2271,0,1.1919,0,8.7143,6.0392,63.6134,12.4812,0.3704772293507617,0.16861145336354538
T07,7,879.9867,11.6198997497559,1055.29797363281,486.4767,8.6454,8.6454,14144.7249,0.00171943,0.7,0.05,0.06,30.94,11.42,0.89,0.57,0.21,1.47,20.0267,1.4353,0.3616,0.0113,0.9191,0.0025,18.198,17.846800000000002,32.61,5.6001,0.8001971394727153,0.3641854126913259
T41,6,1314.7796,11.5148992538452,1079.24401855469,1028.5995,10.44,10.44,2465.9001,0.00603894,0.86,0.01,0.06,70.8,0.25,0.96,0.14,0.03,0.5,1.5408,0.7453,0.3026,4e-4,1.0333,0.0016,6.424,16.0442,41.3047,6.5142,0.388459130031949,0.17679536904820764
T42,6,1314.7796,11.6448993682861,1346.25,1028.5995,10.44,10.44,2465.9001,0.00603894,0.86,0.01,0.06,70.8,0.25,0.96,0.14,0.03,0.5,1.5408,0.7453,0.3026,4e-4,1.0333,0.0016,6.424,16.0442,41.3047,6.5142,0.388459130031949,0.17679536904820764
TAY-RES,5,3313.7191,10.5748996734619,2062.28100585938,312.8911,4.4595,4.4595,662.6592,0.02644614,1.23,0.05,0.79,55.6,0,4.61,2.54,0.01,0.21,0.1595,0.513,0.2413,0,0.6731,0.0015,11.4205,14.1626,55.7678,16.4067,0.6715162327798733,0.3056202081964596
TAY-TAY,4,3328.9854,10.1248998641968,2106.57690429688,314.132,5.0157,5.0157,331.3395,0.01421518,0.07,0.05,0.63,54.17,0,5.33,3.13,0,0.22,0.1582,0.4238,0.2434,0,0.5484,0,6.9308,14.0353,56.1889,17.1891,0.6510502056748114,0.29630571785434184
TRO-GAT,5,1002.33,10.4699001312256,2232.71069335938,339.0483,0.9873,0.9873,1668.3183,0.00883527,0.04,0,0,12.47,4.26,0.04,0.08,0.01,0.33,1.4494,1.0397,0.3113,0,1.3814,0.0024,1.8013,35.6561,17.5443,1.6471,0.42578802183904135,0.19378447985286995
WHY-SIS,3,1709.2918,12.3948993682861,1111.13598632812,1168.1298,16.6761,16.6761,166.2804,0.01136638,0.11,0.01,0.02,33.21,0,0.25,0.04,0,0.46,2.9137,0.9641,0.1801,0,1.2673,0,0.2515,11.4857,60.7377,21.3905,0.41906244725800224,0.1907235389502369
WIL-COR,6,725.3622,6.81489992141724,907.461975097656,1063.431,1.1196,1.1196,11376.3474,3.0636e-4,1.27,2.77,0.29,68.37,2.32,0.74,0.73,0.42,1.62,33.0092,1.4965,0.2489,0.0013,2.5383,0.0037,15.7993,29.1975,24.9091,4.7889,0.6810143374685539,0.30994298192958225
WIL-GOS,5,598.4529,5.77499961853027,1376.20092773438,833.4482,3.7035,3.7035,1664.3106,0.00134279,0.64,3.33,0.16,72.26,0.09,0.61,0.46,0.13,0.83,16.8743,1.763,0.2567,6e-4,2.5073,0.0024,16.9575,36.0269,19.6093,3.0321,0.5012780903088441,0.22814149062385006
WIL-HAR,6,880.7866,9.56489944458008,264.597991943359,1110.5303,3.8313,3.8313,8825.7501,8.6906e-4,1.18,1.46,0.14,79.23,0.29,0.46,0.3,0.23,1,22.0074,1.3216,0.2384,6e-4,2.6984,0.0026,12.7319,27.0701,27.6253,5.2679,0.4269094282745503,0.19429485391616597
WIL-JAS,5,1006.0473,11.9748992919922,203.871002197266,1083.76,5.5674,5.5674,3494.8566,0.0089855,1.87,0.68,0.06,86.97,0,0.2,0.08,0.02,0.3,3.1871,1.2058,0.2329,9e-4,2.7707,0.0014,5.4686,25.7883,28.3289,5.2705,0.27148141559683736,0.12355651688821212
WIL-POR,7,555.4519,9.56489944458008,264.597991943359,1199.9716,125.1927,125.1927,28921.6503,1e-5,0.96,4.06,0.52,55.24,7.62,1.02,0.7,0.81,3.27,83.2088,2.0362,0.2641,0.0021,2.4216,0.0087,17.0089,28.6796,23.1176,4.7375,0.9583982640515076,0.43618584733537386
HJA-WS2,1,812,9.4,2200,NA,0.6,NA,0.6,0.5319,0,100,5,95,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0.1985152433458726,0.09034818078839274
HJA-WS1,1,733,9.5,2000,NA,0.96,NA,0.96,0.5935,0,100,5,95,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0.1985152433458726,0.09034818078839274
CT-W9,1,570,4.6,1100,NA,0.41,NA,0.41,0.206,0,100,95,5,0,0,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,0.1985152433458726,0.09034818078839274
